,Emissions_Source,Fiscal_Year,MTCDE
0,Gas,FY2006,242.9
1,Diesel,FY2006,123.2
2,Gas,FY2007,253.7
3,Diesel,FY2007,138.8
4,Gas,FY2008,241.9
5,Diesel,FY2008,184.7
6,Gas,FY2009,202.2
7,Diesel,FY2009,136.2
8,Gas,FY2010,229.6
9,Diesel,FY2010,181.1
10,Gas,FY2011,215.8
11,Diesel,FY2011,141.3
12,Gas,FY2012,240.2
13,Diesel,FY2012,129.9
14,Gas,FY2013,266.8
15,Diesel,FY2013,131.4
16,Gas,FY2014,263.7
17,Diesel,FY2014,136.1
18,Gas,FY2015,245.0
19,Diesel,FY2015,96.9
20,Gas,FY2016,237.9
21,Diesel,FY2016,106.5
22,Gas,FY2017,228.4
23,Diesel,FY2017,108.1
24,Gas,FY2018,205.0
25,Diesel,FY2018,104.4
26,Gas,FY2019,155.1
27,Diesel,FY2019,75.4
28,Gas,FY2020,150.4
29,Diesel,FY2020,76.0
30,Gas,FY2021,166.8
31,Diesel,FY2021,93.1
32,Gas,FY2022,143.8
33,Diesel,FY2022,92.2
34,Gas,FY2023,176.7
35,Diesel,FY2023,93.1
