	Year	Source	value
0	06/07	Scope 1	26957.8
1	07/08	Scope 1	28036.6
2	08/09	Scope 1	25290.9
3	09/10	Scope 1	16689.2
4	10/11	Scope 1	14505.3
5	11/12	Scope 1	14253.4
6	12/13	Scope 1	9638.8
7	13/14	Scope 1	10326.0
8	14/15	Scope 1	10122.8
9	15/16	Scope 1	8935.5
10	16/17	Scope 1	8023.9
11	17/18	Scope 1	7855.3
12	18/19	Scope 1	7874.4
13	19/20	Scope 1	6903.5
14	20/21	Scope 1	8547.2
15	21/22	Scope 1	7956.5
16	22/23	Scope 1	6180.9
17	06/07	Scope 2	634.8
18	07/08	Scope 2	980.3
19	08/09	Scope 2	904.6
20	09/10	Scope 2	177.2
21	10/11	Scope 2	510.6
22	11/12	Scope 2	436.2
23	12/13	Scope 2	858.9
24	13/14	Scope 2	891.6
25	14/15	Scope 2	1261.4
26	15/16	Scope 2	1356.7
27	16/17	Scope 2	1619.2
28	17/18	Scope 2	1090.5
29	18/19	Scope 2	469.3
30	19/20	Scope 2	174.1
31	20/21	Scope 2	0.0
32	21/22	Scope 2	0.0
33	22/23	Scope 2	0.0
34	06/07	Scope 3	1826.0
35	07/08	Scope 3	2221.9
36	08/09	Scope 3	1866.4
37	09/10	Scope 3	1969.6
38	10/11	Scope 3	2571.2
39	11/12	Scope 3	2854.8
40	12/13	Scope 3	3167.2
41	13/14	Scope 3	3835.5
42	14/15	Scope 3	3622.1
43	15/16	Scope 3	3429.1
44	16/17	Scope 3	4010.0
45	17/18	Scope 3	4028.1
46	18/19	Scope 3	4193.9
47	19/20	Scope 3	2633.6
48	20/21	Scope 3	2633.6
49	21/22	Scope 3	3131.2
50	22/23	Scope 3	3832.4
51	06/07	Offsets Internal	
52	07/08	Offsets Internal	
53	08/09	Offsets Internal	
54	09/10	Offsets Internal	
55	10/11	Offsets Internal	
56	11/12	Offsets Internal	
57	12/13	Offsets Internal	
58	13/14	Offsets Internal	
59	14/15	Offsets Internal	
60	15/16	Offsets Internal	0.0
61	16/17	Offsets Internal	-13020.1
62	17/18	Offsets Internal	-12340.9
63	18/19	Offsets Internal	-11904.6
64	19/20	Offsets Internal	-9078.2
65	20/21	Offsets Internal	
66	21/22	Offsets Internal	
67	22/23	Offsets Internal	
68	06/07	Offsets External	-864.6
69	07/08	Offsets External	-595.1
70	08/09	Offsets External	-660.1
71	09/10	Offsets External	-539.6
72	10/11	Offsets External	-551.5
73	11/12	Offsets External	-551.4
74	12/13	Offsets External	-551.2
75	13/14	Offsets External	-644.6
76	14/15	Offsets External	-645.9
77	15/16	Offsets External	-634.0
78	16/17	Offsets External	-633.0
79	17/18	Offsets External	-633.0
80	18/19	Offsets External	-633.0
81	19/20	Offsets External	-633.0
82	20/21	Offsets External	0.0
83	21/22	Offsets External	0.0
84	22/23	Offsets External	0.0
