Year,Source,value
FY06/07,Scope 1,26957.8
FY07/08,Scope 1,28036.6
FY08/09,Scope 1,25290.9
FY09/10,Scope 1,16689.2
FY10/11,Scope 1,14505.3
FY11/12,Scope 1,14253.4
FY12/13,Scope 1,9638.8
FY13/14,Scope 1,10326.0
FY14/15,Scope 1,10122.8
FY15/16,Scope 1,8935.5
FY16/17,Scope 1,8023.9
FY17/18,Scope 1,7855.3
FY18/19,Scope 1,7874.4
FY19/20,Scope 1,6903.5
FY20/21,Scope 1,8547.2
FY21/22,Scope 1,7956.5
FY22/23,Scope 1,6180.9
FY06/07,Scope 2,634.8
FY07/08,Scope 2,980.3
FY08/09,Scope 2,904.6
FY09/10,Scope 2,177.2
FY10/11,Scope 2,510.6
FY11/12,Scope 2,436.2
FY12/13,Scope 2,858.9
FY13/14,Scope 2,891.6
FY14/15,Scope 2,1261.4
FY15/16,Scope 2,1356.7
FY16/17,Scope 2,1619.2
FY17/18,Scope 2,1090.5
FY18/19,Scope 2,469.3
FY19/20,Scope 2,174.1
FY20/21,Scope 2,0.0
FY21/22,Scope 2,0.0
FY22/23,Scope 2,0.0
FY06/07,Scope 3,1826.0
FY07/08,Scope 3,2221.9
FY08/09,Scope 3,1866.4
FY09/10,Scope 3,1969.6
FY10/11,Scope 3,2571.2
FY11/12,Scope 3,2854.8
FY12/13,Scope 3,3167.2
FY13/14,Scope 3,3835.5
FY14/15,Scope 3,3622.1
FY15/16,Scope 3,3429.1
FY16/17,Scope 3,4010.0
FY17/18,Scope 3,4028.1
FY18/19,Scope 3,4193.9
FY19/20,Scope 3,2633.6
FY20/21,Scope 3,2633.6
FY21/22,Scope 3,3131.2
FY22/23,Scope 3,3832.4
FY15/16,Offsets Internal,0.0
FY16/17,Offsets Internal,-13020.1
FY17/18,Offsets Internal,-12340.9
FY18/19,Offsets Internal,-11904.6
FY19/20,Offsets Internal,-9078.2
FY06/07,Offsets External,-864.6
FY07/08,Offsets External,-595.1
FY08/09,Offsets External,-660.1
FY09/10,Offsets External,-539.6
FY10/11,Offsets External,-551.5
FY11/12,Offsets External,-551.4
FY12/13,Offsets External,-551.2
FY13/14,Offsets External,-644.6
FY14/15,Offsets External,-645.9
FY15/16,Offsets External,-634.0
FY16/17,Offsets External,-633.0
FY17/18,Offsets External,-633.0
FY18/19,Offsets External,-633.0
FY19/20,Offsets External,-633.0
FY20/21,Offsets External,0.0
FY21/22,Offsets External,0.0
FY22/23,Offsets External,0.0
